filename,conn,fullSent
P1A-093_Motorbikes,but ,"You we 're talking about uh Bad Manners at the weekend but I 'm uh, in work all weekend"
P1A-093_Motorbikes,and ,Saturday Sunday Monday Tuesday Wednesday Thursday and then Friday I 'm away But the fact is we 're moving sort of half moving back in now Most of the work 's finished
P1A-093_Motorbikes,then ,Saturday Sunday Monday Tuesday Wednesday Thursday and then Friday I 'm away But the fact is we 're moving sort of half moving back in now Most of the work 's finished
P1A-093_Motorbikes,Cos ,Cos it 's I don't know Cos Monday 's Monday 's a bank holiday but
P1A-093_Motorbikes,but ,Cos it 's I don't know Cos Monday 's Monday 's a bank holiday but
P1A-093_Motorbikes,and ,"So I 'm working tomorrow and I don't know, really what time we 're getting off The kitchen 's getting delivered uh tomorrow so we 're going to start putting it together So that 's what I 'll be doing when I 'm off"
P1A-093_Motorbikes,so ,"So I 'm working tomorrow and I don't know, really what time we 're getting off The kitchen 's getting delivered uh tomorrow so we 're going to start putting it together So that 's what I 'll be doing when I 'm off"
P1A-093_Motorbikes,when ,"So I 'm working tomorrow and I don't know, really what time we 're getting off The kitchen 's getting delivered uh tomorrow so we 're going to start putting it together So that 's what I 'll be doing when I 'm off"
P1A-093_Motorbikes,And ,"And I 'm going away on Friday morning, so I 'll have to start getting ready for that"
P1A-093_Motorbikes,so ,"And I 'm going away on Friday morning, so I 'll have to start getting ready for that"
P1A-093_Motorbikes,And ,"No I can't I can't come back from a week 's holiday and take another week I can't do it And even if I did I couldn't leave Mum and Dad 'll be half in the middle of, moving and half decorating and all So"
P1A-093_Motorbikes,even ,"No I can't I can't come back from a week 's holiday and take another week I can't do it And even if I did I couldn't leave Mum and Dad 'll be half in the middle of, moving and half decorating and all So"
P1A-093_Motorbikes,if ,"No I can't I can't come back from a week 's holiday and take another week I can't do it And even if I did I couldn't leave Mum and Dad 'll be half in the middle of, moving and half decorating and all So"
P1A-093_Motorbikes,So ,"No I can't I can't come back from a week 's holiday and take another week I can't do it And even if I did I couldn't leave Mum and Dad 'll be half in the middle of, moving and half decorating and all So"
P1A-093_Motorbikes,and ,Go away with us in the summer and then you 'll be alright
P1A-093_Motorbikes,then ,Go away with us in the summer and then you 'll be alright
P1A-093_Motorbikes,though ,It 's yellow though but that 's 2 sylls
P1A-093_Motorbikes,But ,Well it 's got a yellow disc one of the ones with the wee fairing at the front But it 's uh thirteen thousand mile one six
P1A-093_Motorbikes,Cos ,"One thousand six hundred and he 's going to he 's thinking about buying it for the trip basically you know Cos it 'd be cheap for him to, insure It 's that 's, it 's, best option insurance-wise for just passing his test you know"
P1A-093_Motorbikes,rather ,There 's thirteen it 's he would rather have one with low miles lower miles But it 's not too bad
P1A-093_Motorbikes,But ,There 's thirteen it 's he would rather have one with low miles lower miles But it 's not too bad
P1A-093_Motorbikes,But ,"He would you can't really no It 's got a square, it 's got the light and all attached to it But it 'll be far better for the journey cos you 'll need a wee bit of, protection So"
P1A-093_Motorbikes,cos ,"He would you can't really no It 's got a square, it 's got the light and all attached to it But it 'll be far better for the journey cos you 'll need a wee bit of, protection So"
P1A-093_Motorbikes,And ,"He no I watched him do it He did it very very professionally He knows exactly what he 's at like you know He used to race bikes like He said he 'd be doing working on chains every, every week like And uh he said he 'd he 'd have it all sort of set up for me next week And if I go down at five o'clock on Tuesday an hour before the class begins then we can get really stuck into it and he 'll get it sorted then He says he can just cut off the chain that 's on it"
P1A-093_Motorbikes,And ,"He no I watched him do it He did it very very professionally He knows exactly what he 's at like you know He used to race bikes like He said he 'd be doing working on chains every, every week like And uh he said he 'd he 'd have it all sort of set up for me next week And if I go down at five o'clock on Tuesday an hour before the class begins then we can get really stuck into it and he 'll get it sorted then He says he can just cut off the chain that 's on it"
P1A-093_Motorbikes,if ,"He no I watched him do it He did it very very professionally He knows exactly what he 's at like you know He used to race bikes like He said he 'd be doing working on chains every, every week like And uh he said he 'd he 'd have it all sort of set up for me next week And if I go down at five o'clock on Tuesday an hour before the class begins then we can get really stuck into it and he 'll get it sorted then He says he can just cut off the chain that 's on it"
