,pdtb_TP,pdtb_GS,pdtb_PR,conll2015_TP,conll2015_GS,conll2015_PR,syntactic_GS,heuristic_TP,heuristic_GS,heuristic_PR,syntactic_TP,syntactic_PR,pdtb_FN,pdtb_FP,conll2015_FN,conll2015_FP,syntactic_FN,syntactic_FP,heuristic_FN,heuristic_FP
and,421.0,468.0,642.0,342.0,468.0,516.0,468.0,468.0,468.0,1157.0,0.0,0.0,47.0,221.0,126.0,174.0,468.0,0.0,0.0,689.0
but,164.0,207.0,229.0,105.0,207.0,191.0,207.0,207.0,207.0,317.0,0.0,0.0,43.0,65.0,102.0,86.0,207.0,0.0,0.0,110.0
if,78.0,84.0,92.0,57.0,84.0,84.0,84.0,84.0,84.0,113.0,71.0,84.0,6.0,14.0,27.0,27.0,13.0,13.0,0.0,29.0
so,67.0,98.0,158.0,44.0,98.0,117.0,98.0,98.0,98.0,299.0,5.0,6.0,31.0,91.0,54.0,73.0,93.0,1.0,0.0,201.0
when,63.0,76.0,83.0,55.0,76.0,70.0,76.0,76.0,76.0,103.0,69.0,82.0,13.0,20.0,21.0,15.0,7.0,13.0,0.0,27.0
because,48.0,54.0,52.0,20.0,54.0,45.0,54.0,54.0,54.0,64.0,49.0,51.0,6.0,4.0,34.0,25.0,5.0,2.0,0.0,10.0
then,40.0,66.0,83.0,20.0,66.0,59.0,66.0,66.0,66.0,114.0,0.0,0.0,26.0,43.0,46.0,39.0,66.0,0.0,0.0,48.0
or,16.0,31.0,20.0,11.0,31.0,19.0,31.0,31.0,31.0,154.0,0.0,0.0,15.0,4.0,20.0,8.0,31.0,0.0,0.0,123.0
before,7.0,8.0,13.0,6.0,8.0,10.0,8.0,8.0,8.0,22.0,7.0,9.0,1.0,6.0,2.0,4.0,1.0,2.0,0.0,14.0
as,6.0,18.0,24.0,5.0,18.0,25.0,18.0,18.0,18.0,176.0,14.0,49.0,12.0,18.0,13.0,20.0,4.0,35.0,0.0,158.0
once,5.0,5.0,7.0,3.0,5.0,3.0,5.0,5.0,5.0,11.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,6.0
while,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,8.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
however,4.0,4.0,4.0,0.0,4.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0
instead,3.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
though,3.0,4.0,11.0,2.0,4.0,7.0,4.0,4.0,4.0,13.0,2.0,6.0,1.0,8.0,2.0,5.0,2.0,4.0,0.0,9.0
therefore,3.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0
although,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
until,2.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,11.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,8.0
whereas,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
indeed,2.0,4.0,2.0,0.0,4.0,2.0,4.0,4.0,4.0,10.0,0.0,0.0,2.0,0.0,4.0,2.0,4.0,0.0,0.0,6.0
unless,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
since,1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0
meanwhile,1.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0
rather,1.0,4.0,1.0,0.0,4.0,0.0,4.0,4.0,4.0,11.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,7.0
besides,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
cos,0.0,49.0,0.0,0.0,49.0,0.0,49.0,49.0,49.0,59.0,0.0,0.0,49.0,0.0,49.0,0.0,49.0,0.0,0.0,10.0
for,0.0,11.0,0.0,0.0,11.0,0.0,11.0,11.0,11.0,279.0,0.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,0.0,268.0
example,0.0,8.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,12.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,4.0
even,0.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,36.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,32.0
later,0.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,3.0,8.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,5.0
except,0.0,3.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
eventually,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
long,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,32.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,30.0
of,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,674.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,672.0
still,0.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,28.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,26.0
on,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,216.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,214.0
just,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,220.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,219.0
nor,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
well,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,251.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,250.0
also,0.0,1.0,24.0,0.0,1.0,20.0,1.0,1.0,1.0,26.0,0.0,1.0,1.0,24.0,1.0,20.0,1.0,1.0,0.0,25.0
soon,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0
finally,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
instance,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
otherwise,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0
incidentally,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
that,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,774.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,773.0
he,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,448.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,447.0
insofar,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
after,0.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,21.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,20.0
likewise,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
right,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,104.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,103.0
seeing,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0
the,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1354.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1353.0
if then,0.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0
so that,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0
as long as,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
for example,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
yet,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
in fact,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
as soon as,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
as if,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
as a result,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
in other words,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
for instance,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
previously,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
as well,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
insofar as,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
