,pdtb_TP,pdtb_FP,pdtb_FN,conll2015_TP,conll2015_FP,conll2015_FN,syntactic_TP,syntactic_FP,syntactic_FN,heuristic_TP,heuristic_FP,heuristic_FN
1 hr. after,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10 min before,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
180 seconds after,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2 hours following,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20 min later,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30 minutes prior to,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8–12 weeks after,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
accordingly,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
additionally,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
after,21.0,6.0,113.0,6.0,25.0,25.0,17.0,4.0,117.0,134.0,107.0,0.0
after which,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
albeit,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
also,89.0,94.0,3.0,29.0,2.0,2.0,0.0,9.0,92.0,92.0,106.0,0.0
alternatively,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
although,76.0,1.0,0.0,24.0,1.0,1.0,67.0,0.0,9.0,76.0,1.0,0.0
although;still,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
and,204.0,78.0,70.0,65.0,30.0,30.0,3.0,70.0,271.0,274.0,3035.0,0.0
and/or,0.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0
appears to be due at least in part to,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
as,12.0,61.0,11.0,10.0,2.0,2.0,18.0,155.0,5.0,23.0,804.0,0.0
"as
a direct consequence of",0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
as a consequence,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0
