,pdtb_P,pdtb_R,conll2015_P,conll2015_R,syntactic_P,syntactic_R,heuristic_P,heuristic_R
1 hr. after,-,-,-,-,-,-,-,-
10 min before,-,-,-,-,-,-,-,-
180 seconds after,-,-,-,-,-,-,-,-
2 hours following,-,-,-,-,-,-,-,-
20 min later,-,-,-,-,-,-,-,-
30 minutes prior to,-,-,-,-,-,-,-,-
8–12 weeks after,-,-,-,-,-,-,-,-
accordingly,0.5,1.0,-,-,-,-,1.0,0.6666666666666666
additionally,1.0,1.0,-,-,-,-,1.0,1.0
after,0.15671641791044777,0.7777777777777778,0.1935483870967742,0.1935483870967742,0.12686567164179105,0.8095238095238095,1.0,0.5560165975103735
after which,-,-,-,-,-,-,-,-
albeit,-,-,-,-,-,-,-,-
also,0.967391304347826,0.48633879781420764,0.9354838709677419,0.9354838709677419,-,-,1.0,0.46464646464646464
alternatively,1.0,1.0,1.0,1.0,-,-,1.0,1.0
although,1.0,0.987012987012987,0.96,0.96,0.881578947368421,1.0,1.0,0.987012987012987
although;still,-,-,-,-,-,-,-,-
and,0.7445255474452555,0.723404255319149,0.6842105263157895,0.6842105263157895,0.010948905109489052,0.0410958904109589,1.0,0.08280447265034754
and/or,-,-,-,-,-,-,-,-
appears to be due at least in part to,-,-,-,-,-,-,-,-
as,0.5217391304347826,0.1643835616438356,0.8333333333333334,0.8333333333333334,0.782608695652174,0.10404624277456648,1.0,0.02781136638452237
"as
a direct consequence of",-,-,-,-,-,-,-,-
as a consequence,-,-,-,-,-,-,-,-
as a consequence of,-,-,-,-,-,-,-,-
as a result,1.0,1.0,-,-,-,-,1.0,0.25
as a result of,-,-,-,-,-,-,-,-
as an example,-,-,-,-,-,-,-,-
as demonstrated by,-,-,-,-,-,-,-,-
as early as 24 h after,-,-,-,-,-,-,-,-
as inferred by,-,-,-,-,-,-,-,-
as long as,-,-,-,-,-,-,-,-
as well,-,-,-,-,-,-,-,-
at some point after,-,-,-,-,-,-,-,-
based on,-,-,-,-,-,-,-,-
because,0.9444444444444444,0.9444444444444444,1.0,1.0,0.7777777777777778,0.9655172413793104,1.0,0.8372093023255814
because of,-,-,-,-,-,-,-,-
before,0.5714285714285714,1.0,0.5,0.5,0.38095238095238093,0.8888888888888888,1.0,0.6
before and after,-,-,-,-,-,-,-,-
besides,-,-,-,-,-,-,1.0,0.3333333333333333
between 1–2 h after,-,-,-,-,-,-,-,-
both in response to,-,-,-,-,-,-,-,-
both upon,-,-,-,-,-,-,-,-
briefly,-,-,-,-,-,-,-,-
but,0.8095238095238095,0.918918918918919,0.7647058823529411,0.7647058823529411,-,-,1.0,0.2781456953642384
by,-,-,-,-,-,-,-,-
by comparison,-,-,-,-,-,-,-,-
by contrast,1.0,1.0,-,-,-,-,1.0,1.0
by means of,-,-,-,-,-,-,-,-
by the fact that,-,-,-,-,-,-,-,-
consequently,0.8333333333333334,1.0,1.0,1.0,-,-,1.0,1.0
conversely,1.0,1.0,1.0,1.0,-,-,1.0,1.0
despite,-,-,-,-,-,-,-,-
despite the fact that,-,-,-,-,-,-,-,-
due mainly to,-,-,-,-,-,-,-,-
due to,-,-,-,-,-,-,-,-
during,-,-,-,-,-,-,-,-
e.g.,-,-,-,-,-,-,-,-
earlier,-,-,-,-,-,-,-,-
either;or,-,-,-,-,-,-,-,-
else,-,-,-,-,-,-,-,-
even though,-,-,-,-,-,-,-,-
except,0.3333333333333333,0.5,0.5,0.5,-,-,1.0,0.2
except for,-,-,-,-,-,-,-,-
except that,-,-,-,-,-,-,-,-
finally,0.7142857142857143,0.8823529411764706,0.4,0.4,-,-,1.0,0.875
followed 4 hours later by,-,-,-,-,-,-,-,-
followed by,-,-,-,-,-,-,-,-
following,-,-,-,-,-,-,-,-
for,-,-,-,-,-,-,1.0,0.05224564619615032
for example,0.7857142857142857,0.8461538461538461,-,-,-,-,1.0,0.8235294117647058
for instance,0.5,1.0,-,-,-,-,1.0,0.5
forty-eight hours after,-,-,-,-,-,-,-,-
four days after,-,-,-,-,-,-,-,-
four hours after,-,-,-,-,-,-,-,-
four hours later,-,-,-,-,-,-,-,-
further,0.5714285714285714,1.0,0.75,0.75,-,-,1.0,0.11666666666666667
furthermore,0.926829268292683,1.0,0.8333333333333334,0.8333333333333334,-,-,1.0,1.0
given,-,-,-,-,-,-,-,-
hereafter,-,-,-,-,-,-,-,-
however,0.9743589743589743,1.0,1.0,1.0,0.042735042735042736,1.0,1.0,1.0
i.e.,-,-,-,-,-,-,-,-
if,0.8888888888888888,0.48484848484848486,1.0,1.0,0.8888888888888888,0.42105263157894735,1.0,0.36
if then,-,-,-,-,-,-,-,-
if;then,-,-,-,-,-,-,1.0,1.0
immediately after,-,-,-,-,-,-,-,-
in,-,-,-,-,-,-,-,-
in addition,0.9512195121951219,1.0,-,-,-,-,1.0,0.7454545454545455
in addition to,-,-,-,-,-,-,-,-
in an effort to,-,-,-,-,-,-,-,-
in brief,-,-,-,-,-,-,-,-
in comparison to,-,-,-,-,-,-,-,-
in comparison with,-,-,-,-,-,-,-,-
