,pdtb_TP,pdtb_FP,pdtb_FN,conll2015_TP,conll2015_FP,conll2015_FN,syntactic_TP,syntactic_FP,syntactic_FN,heuristic_TP,heuristic_FP,heuristic_FN
after,0.0,3.0,1.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,20.0,0.0
also,0.0,24.0,1.0,0.0,20.0,1.0,0.0,2.0,1.0,1.0,25.0,0.0
although,3.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
and,421.0,221.0,47.0,342.0,174.0,126.0,119.0,-42.0,349.0,467.0,690.0,1.0
as,6.0,18.0,12.0,5.0,20.0,13.0,9.0,27.0,9.0,18.0,158.0,0.0
as a result,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
as if,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as long as,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
as soon as,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as though,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
as well,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
because,48.0,4.0,6.0,20.0,25.0,34.0,34.0,5.0,20.0,54.0,10.0,0.0
before,7.0,6.0,1.0,6.0,4.0,2.0,4.0,4.0,4.0,8.0,14.0,0.0
besides,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
but,164.0,65.0,43.0,105.0,86.0,102.0,12.0,1.0,195.0,207.0,110.0,0.0
cos,0.0,0.0,49.0,0.0,0.0,49.0,0.0,0.0,49.0,0.0,0.0,49.0
earlier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
either;or,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
else,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
even,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0
eventually,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
example,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0
except,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0
finally,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
for,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,11.0,268.0,0.0
for example,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
for instance,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
further,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
