,pdtb_P,pdtb_R,conll2015_P,conll2015_R,syntactic_P,syntactic_R,heuristic_P,heuristic_R
after,-,-,-,-,-,-,1.0,0.047619047619047616
also,-,-,-,-,-,-,1.0,0.038461538461538464
although,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0
and,0.8995726495726496,0.6557632398753894,0.7307692307692307,0.6627906976744186,0.25427350427350426,1.5454545454545454,0.9978632478632479,0.40363007778738114
as,0.3333333333333333,0.25,0.2777777777777778,0.2,0.5,0.25,1.0,0.10227272727272728
as a result,-,-,-,-,-,-,-,-
as if,-,-,-,-,-,-,-,-
as long as,-,-,-,-,-,-,-,-
as soon as,-,-,-,-,-,-,-,-
as though,-,-,-,-,-,-,-,-
as well,-,-,-,-,-,-,-,-
because,0.8888888888888888,0.9230769230769231,0.37037037037037035,0.4444444444444444,0.6296296296296297,0.8717948717948718,1.0,0.84375
before,0.875,0.5384615384615384,0.75,0.6,0.5,0.5,1.0,0.36363636363636365
besides,1.0,1.0,-,-,-,-,1.0,1.0
but,0.7922705314009661,0.7161572052401747,0.5072463768115942,0.5497382198952879,0.057971014492753624,0.9230769230769231,1.0,0.6529968454258676
cos,-,-,-,-,-,-,-,-
earlier,-,-,-,-,-,-,-,-
either;or,-,-,-,-,-,-,-,-
else,-,-,-,-,-,-,-,-
even,-,-,-,-,-,-,-,-
eventually,-,-,-,-,-,-,-,-
example,-,-,-,-,-,-,-,-
except,-,-,0.3333333333333333,1.0,-,-,1.0,1.0
finally,-,-,-,-,-,-,1.0,0.5
for,-,-,-,-,-,-,1.0,0.03942652329749104
for example,-,-,-,-,-,-,-,-
for instance,-,-,-,-,-,-,-,-
further,-,-,-,-,-,-,-,-
he,-,-,-,-,-,-,-,-
however,1.0,1.0,-,-,-,-,1.0,1.0
if,0.9285714285714286,0.8478260869565217,0.6785714285714286,0.6785714285714286,0.7380952380952381,0.7469879518072289,0.9880952380952381,0.7345132743362832
if then,-,-,-,-,-,-,-,-
if;then,-,-,-,-,-,-,-,-
in fact,-,-,-,-,-,-,-,-
in other words,-,-,-,-,-,-,-,-
in particular,-,-,-,-,-,-,-,-
in the end,-,-,-,-,-,-,-,-
in turn,-,-,-,-,-,-,-,-
incidentally,-,-,-,-,-,-,-,-
indeed,0.5,1.0,-,-,-,-,1.0,0.4
insofar,-,-,-,-,-,-,-,-
insofar as,-,-,-,-,-,-,-,-
instance,-,-,-,-,-,-,-,-
instead,0.6,1.0,0.6,1.0,-,-,1.0,1.0
just,-,-,-,-,-,-,-,-
later,-,-,-,-,-,-,1.0,0.375
likewise,-,-,1.0,1.0,-,-,1.0,1.0
long,-,-,-,-,-,-,-,-
meanwhile,0.5,0.3333333333333333,-,-,-,-,1.0,0.6666666666666666
next,-,-,-,-,-,-,-,-
nor,-,-,-,-,-,-,1.0,1.0
now what,-,-,-,-,-,-,-,-
of,-,-,-,-,-,-,-,-
on,-,-,-,-,-,-,-,-
on the other hand,-,-,-,-,-,-,-,-
once,1.0,0.7142857142857143,0.6,1.0,-,-,1.0,0.45454545454545453
or,0.5161290322580645,0.8,0.3548387096774194,0.5789473684210527,-,-,1.0,0.2012987012987013
otherwise,-,-,-,-,-,-,1.0,0.3333333333333333
overall,-,-,-,-,-,-,-,-
plus,-,-,-,-,-,-,-,-
previously,-,-,-,-,-,-,-,-
rather,0.25,1.0,-,-,-,-,1.0,0.36363636363636365
right,-,-,-,-,-,-,-,-
seeing,-,-,-,-,-,-,-,-
simultaneously,-,-,-,-,-,-,-,-
since,1.0,0.3333333333333333,-,-,-,-,1.0,0.2
so,0.6836734693877551,0.4240506329113924,0.4489795918367347,0.37606837606837606,0.336734693877551,0.9428571428571428,1.0,0.3277591973244147
so that,-,-,-,-,-,-,-,-
soon,-,-,-,-,-,-,-,-
specifically,-,-,-,-,-,-,-,-
still,-,-,-,-,0.5,0.2,1.0,0.07142857142857142
that,-,-,-,-,-,-,-,-
the,-,-,-,-,-,-,-,-
then,0.6060606060606061,0.4819277108433735,0.30303030303030304,0.3389830508474576,0.030303030303030304,0.6666666666666666,1.0,0.5789473684210527
therefore,1.0,1.0,-,-,-,-,1.0,1.0
though,0.75,0.2727272727272727,0.5,0.2857142857142857,0.5,0.4,1.0,0.3076923076923077
unless,1.0,1.0,1.0,1.0,-,-,1.0,1.0
until,0.6666666666666666,0.6666666666666666,-,-,-,-,1.0,0.2727272727272727
well,-,-,-,-,-,-,-,-
when,0.8289473684210527,0.7590361445783133,0.7236842105263158,0.7857142857142857,0.6973684210526315,0.8833333333333333,1.0,0.7378640776699029
whereas,1.0,1.0,0.5,0.5,-,-,1.0,1.0
while,1.0,0.8,1.0,0.8,1.0,0.8,1.0,0.5
yet,-,-,-,-,-,-,-,-
