,pdtb_TP,pdtb_GS,pdtb_PR,conll2015_TP,conll2015_GS,conll2015_PR,syntactic_TP,syntactic_GS,heuristic_TP,heuristic_GS,heuristic_PR,syntactic_PR
and,85.0,126.0,109.0,19.0,126.0,66.0,1.0,126.0,87.0,126.0,126.0,-
but,38.0,47.0,47.0,5.0,47.0,10.0,-,47.0,27.0,47.0,47.0,-
if,20.0,23.0,33.0,2.0,23.0,4.0,4.0,23.0,19.0,23.0,23.0,28.0
because,16.0,16.0,21.0,6.0,16.0,9.0,6.0,16.0,9.0,16.0,16.0,18.0
so,10.0,19.0,22.0,1.0,19.0,9.0,-,19.0,17.0,19.0,19.0,2.0
as,7.0,9.0,7.0,-,9.0,9.0,4.0,9.0,4.0,9.0,9.0,17.0
when,7.0,8.0,18.0,2.0,8.0,5.0,1.0,8.0,4.0,8.0,8.0,12.0
then,7.0,7.0,11.0,-,7.0,2.0,-,7.0,4.0,7.0,7.0,-
also,5.0,6.0,9.0,2.0,6.0,4.0,-,6.0,5.0,6.0,6.0,-
or,3.0,7.0,4.0,1.0,7.0,7.0,-,7.0,6.0,7.0,7.0,-
in fact,2.0,2.0,2.0,-,2.0,-,-,2.0,1.0,2.0,2.0,-
though,2.0,2.0,3.0,-,2.0,-,-,2.0,1.0,2.0,2.0,2.0
however,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,-
until,1.0,1.0,1.0,-,1.0,-,-,1.0,-,1.0,1.0,-
since,1.0,1.0,1.0,-,1.0,-,-,1.0,1.0,1.0,1.0,-
so that,1.0,1.0,2.0,-,1.0,-,-,1.0,-,1.0,1.0,-
while,1.0,1.0,2.0,-,1.0,-,-,1.0,-,1.0,1.0,1.0
in short,1.0,1.0,1.0,-,1.0,-,-,1.0,1.0,1.0,1.0,-
by,-,5.0,-,-,5.0,-,-,5.0,-,5.0,-,-
rather,-,2.0,-,-,2.0,-,-,2.0,-,2.0,1.0,-
through,-,2.0,-,-,2.0,-,-,2.0,-,2.0,-,-
on the one hand,-,2.0,-,-,2.0,-,-,2.0,1.0,2.0,1.0,-
in,-,2.0,-,-,2.0,1.0,-,2.0,-,2.0,-,-
in order,-,2.0,-,-,2.0,-,-,2.0,-,2.0,-,-
clearly,-,1.0,-,-,1.0,-,-,1.0,-,1.0,-,-
lastly,-,1.0,-,-,1.0,-,-,1.0,-,1.0,-,-
but indeed,-,1.0,-,-,1.0,-,-,1.0,-,1.0,-,-
for,-,1.0,-,-,1.0,12.0,-,1.0,-,1.0,1.0,-
than,-,1.0,-,-,1.0,-,-,1.0,-,1.0,-,-
at,-,1.0,-,-,1.0,-,-,1.0,-,1.0,-,-
at the same time,-,1.0,-,-,1.0,-,-,1.0,-,1.0,-,-
especially when,-,1.0,-,-,1.0,-,-,1.0,-,1.0,-,-
with,-,1.0,-,-,1.0,-,-,1.0,-,1.0,-,-
that's why,-,1.0,-,-,1.0,-,-,1.0,-,1.0,-,-
where,-,1.0,-,-,1.0,-,-,1.0,-,1.0,-,-
as if,-,-,3.0,-,-,-,-,-,-,-,-,-
if then,-,-,3.0,-,-,-,-,-,-,-,-,-
in other words,-,-,2.0,-,-,-,-,-,-,-,-,-
still,-,-,1.0,-,-,1.0,-,-,-,-,-,-
indeed,-,-,1.0,-,-,-,-,-,-,-,-,-
next,-,-,-,-,-,3.0,-,-,-,-,-,-
earlier,-,-,-,-,-,1.0,-,-,-,-,-,-
further,-,-,-,-,-,1.0,-,-,-,-,-,-
later,-,-,-,-,-,1.0,-,-,-,-,-,-
plus,-,-,-,-,-,1.0,-,-,-,-,-,-
