,pdtb_TP,pdtb_FP,pdtb_FN,conll2015_TP,conll2015_FP,conll2015_FN,syntactic_TP,syntactic_FP,syntactic_FN,heuristic_TP,heuristic_FP,heuristic_FN
accordingly,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0
additionally,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
after,20.0,10.0,3.0,19.0,7.0,1.0,21.0,7.0,2.0,23.0,40.0,0.0
also,75.0,1.0,1.0,68.0,1.0,1.0,1.0,0.0,75.0,76.0,1.0,0.0
although,16.0,0.0,0.0,14.0,0.0,1.0,14.0,0.0,2.0,16.0,0.0,0.0
and,119.0,20.0,20.0,97.0,10.0,22.0,1.0,9.0,138.0,139.0,812.0,0.0
as,27.0,10.0,12.0,29.0,14.0,6.0,28.0,32.0,11.0,39.0,247.0,0.0
as a result,3.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,7.0,0.0
as if,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
as soon as,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
as though,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
as well,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
because,42.0,10.0,3.0,37.0,11.0,2.0,35.0,10.0,10.0,45.0,32.0,0.0
before,16.0,0.0,1.0,14.0,0.0,2.0,14.0,0.0,3.0,17.0,21.0,0.0
besides,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
but,168.0,2.0,5.0,145.0,3.0,7.0,0.0,0.0,173.0,173.0,32.0,0.0
by,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by comparison,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
by contrast,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
by then,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
consequently,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
earlier,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,34.0,0.0
either;or,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
else,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
especially after,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
especially when,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
even after,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
even as,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
even if,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
even though,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0
finally,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
for,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,456.0,0.0
for example,7.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,8.0,8.0,0.0,0.0
for instance,13.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,13.0,13.0,0.0,0.0
