,pdtb_P,pdtb_R,conll2015_P,conll2015_R,syntactic_P,syntactic_R,heuristic_P,heuristic_R
but,0.9710982658959537,0.9882352941176471,0.9539473684210527,0.9797297297297297,-,-,0.9942196531791907,0.8390243902439024
and,0.8561151079136691,0.8561151079136691,0.8151260504201681,0.9065420560747663,0.007194244604316547,-,0.9856115107913669,0.1440588853838065
also,0.9868421052631579,0.9868421052631579,0.9855072463768116,0.9855072463768116,0.013157894736842105,1.0,1.0,0.987012987012987
if,0.9591836734693877,0.8392857142857143,0.9210526315789473,0.8333333333333334,0.8571428571428571,0.7924528301886793,1.0,0.7903225806451613
when,0.9183673469387755,0.8035714285714286,0.8297872340425532,0.8125,0.7959183673469388,0.6,0.9795918367346939,0.5783132530120482
because,0.9333333333333333,0.8076923076923077,0.9487179487179487,0.7708333333333334,0.7777777777777778,0.7777777777777778,0.9777777777777777,0.5714285714285714
however,1.0,0.9722222222222222,0.96875,1.0,-,-,1.0,0.9722222222222222
while,0.918918918918919,1.0,0.96875,1.0,0.8918918918918919,1.0,1.0,0.9736842105263158
as,0.6923076923076923,0.7297297297297297,0.8285714285714286,0.6744186046511628,0.717948717948718,0.4666666666666667,1.0,0.13636363636363635
after,0.8695652173913043,0.6666666666666666,0.95,0.7307692307692307,0.9130434782608695,0.75,1.0,0.36507936507936506
although,1.0,1.0,0.9333333333333333,1.0,0.875,1.0,1.0,1.0
before,0.9411764705882353,1.0,0.875,1.0,0.8235294117647058,1.0,1.0,0.4473684210526316
so,1.0,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.1875,1.0,1.0,0.2857142857142857
then,0.9333333333333333,0.9333333333333333,0.8,0.8571428571428571,-,-,1.0,0.625
meanwhile,1.0,1.0,1.0,1.0,-,-,1.0,1.0
for instance,1.0,1.0,-,-,-,-,1.0,1.0
thus,1.0,0.9166666666666666,0.8,0.7272727272727273,-,-,0.8181818181818182,0.75
in addition,1.0,1.0,-,-,-,-,1.0,0.8461538461538461
since,1.0,0.7692307692307693,1.0,0.8181818181818182,-,-,1.0,0.2631578947368421
though,1.0,0.6,1.0,0.5714285714285714,0.4444444444444444,0.3333333333333333,1.0,0.47368421052631576
