Offset-raw,filename,arg1,arg2
but,P1A-093_Motorbikes,You we 're talking about uh Bad Manners at the weekend,"I 'm uh , in work all weekend"
but,P1A-093_Motorbikes,Well it 's got a yellow disc one of the ones with the wee fairing at the front,it 's uh thirteen thousand mile one six
but,P1A-093_Motorbikes,There 's thirteen it 's he would rather have one with low miles lower miles,it 's not too bad
but,P1A-093_Motorbikes,and all attached to it,"it 'll be far better for the journey cos you 'll need a wee bit of , protection So"
but,P1A-093_Motorbikes,Oh that 's alright,uh I tightened the chain then on Tuesday night just to give me some practice like and uh it 's terrible
but,P1A-093_Motorbikes,what,"you 'd maybe be better taking it to , somebody proper to and say right put this chain on for me"
but,P1A-093_Motorbikes,I usually go to play football with my mates from work on Monday night,I 'm not going to go just in case I get injured cos my insurance does n't cover cancellations I I got the cheapest insurance I can get so
but,P1A-093_Motorbikes,what,"you 'd maybe be better taking it to , somebody proper to and say right put this chain on for me"
but,P1A-093_Motorbikes,Right okay,you might not be away even sure you might Or are you definitely going
but,P1A-093_Motorbikes,Well she might I know,I want to get the chain on first Make sure the bike 's in proper working order before I do like
and,P1A-093_Motorbikes,So I 'm working tomorrow,"I do n't know , really what time we 're getting off The kitchen 's getting delivered uh tomorrow so we 're going to start putting it together So that 's what I 'll be doing when I 'm off"
and,P1A-093_Motorbikes,And,was like well okay if you he was looking at it and he saw the wee you know the wee hairs coming off the side the wee rubber
and,P1A-093_Motorbikes,And,was like well okay if you he was looking at it and he saw the wee you know the wee hairs coming off the side the wee rubber
and,P1A-093_Motorbikes,Go away with us in the summer,then you 'll be alright
and,P1A-093_Motorbikes,"him do it He did it very very professionally He knows exactly what he 's at like you know He used to race bikes like He said he 'd be doing working on chains every , every week like uh he said he 'd he 'd have it all sort of set up for me next week",And if I go down at five o'clock on Tuesday an hour before the class begins then we can get really stuck into it and he 'll get it sorted then He says he can just cut off the chain that 's on it
and,P1A-093_Motorbikes,"him do it He did it very very professionally He knows exactly what he 's at like you know He used to race bikes like He said he 'd be doing working on chains every , every week like uh he said he 'd he 'd have it all sort of set up for me next week",And if I go down at five o'clock on Tuesday an hour before the class begins then we can get really stuck into it and he 'll get it sorted then He says he can just cut off the chain that 's on it
