filename,Offset-raw,fullSent
P1A-093_Motorbikes,but,"but i 'm uh, in work all weekend"
P1A-093_Motorbikes,but,but
P1A-093_Motorbikes,but,but
P1A-093_Motorbikes,but,but
P1A-093_Motorbikes,but,but
P1A-093_Motorbikes,but,but
P1A-093_Motorbikes,but,but
P1A-093_Motorbikes,but,but
P1A-093_Motorbikes,but,but
P1A-093_Motorbikes,but,but
P1A-093_Motorbikes,but,but
P1A-093_Motorbikes,but,but
P1A-093_Motorbikes,but,but
P1A-093_Motorbikes,and,tuesday wednesday thursday and then friday i 'm away
P1A-093_Motorbikes,and,"and i don't know, really what time we 're getting off"
P1A-093_Motorbikes,and,"and i 'm going away on friday morning, so i 'll have to start getting ready for that"
P1A-093_Motorbikes,and,n't i can't come back from a week 's holiday and take another week
P1A-093_Motorbikes,and,and then you 'll be alright
P1A-093_Motorbikes,and,and uh he said he 'd he 'd have it all sort of set up for me next week
P1A-093_Motorbikes,and,and uh he said he 'd he 'd have it all sort of set up for me next week
P1A-093_Motorbikes,and,and uh he said he 'd he 'd have it all sort of set up for me next week
P1A-093_Motorbikes,and,and uh it 's terrible
P1A-093_Motorbikes,and,"i did aye, but he was helping me measure it and everything"
P1A-093_Motorbikes,and,"i did aye, but he was helping me measure it and everything"
P1A-093_Motorbikes,and,and unless you come down here i won't see you
P1A-093_Motorbikes,and,"when i was down there i just thought why not like and the, my mechanics instructor was saying"
P1A-093_Motorbikes,and,"when i was down there i just thought why not like and the, my mechanics instructor was saying"
P1A-093_Motorbikes,and,i plan a few trips like and
P1A-093_Motorbikes,and,and he was going god
P1A-093_Motorbikes,and,"and he was laughing, 4 sylls people look and see where it 's worn and see if it 's"
P1A-093_Motorbikes,and,well make sure and get that bike done
P1A-093_Motorbikes,and,"you can receive, and you can send but you have to put something in front of it"
P1A-093_Motorbikes,and,"you can receive, and you can send but you have to put something in front of it"
P1A-093_Motorbikes,and,"you can receive, and you can send but you have to put something in front of it"
P1A-093_Motorbikes,and,"you can receive, and you can send but you have to put something in front of it"
P1A-093_Motorbikes,and,and she 's quite a nervous driver
P1A-093_Motorbikes,and,and she 's quite a nervous driver
P1A-093_Motorbikes,then,tuesday wednesday thursday and then friday i 'm away
P1A-093_Motorbikes,then,and then you 'll be alright
P1A-093_Motorbikes,then,but uh i tightened the chain then on tuesday night just to give me some practice like
P1A-093_Motorbikes,then,"and then, he went off"
P1A-093_Motorbikes,then,"put about twenty quid in it before you go and then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like"
P1A-093_Motorbikes,so,so i 'm working tomorrow
P1A-093_Motorbikes,so,"and i 'm going away on friday morning, so i 'll have to start getting ready for that"
P1A-093_Motorbikes,so,"and even if i did i couldn't leave mum and dad 'll be half in the middle of, moving and half decorating and all so"
P1A-093_Motorbikes,so,so
P1A-093_Motorbikes,so,so
P1A-093_Motorbikes,so,so
P1A-093_Motorbikes,when,so that 's what i 'll be doing when i 'm off
P1A-093_Motorbikes,when,"he said see you know when he puts on, this chain he 's going to get it exactly perfect you know for"
P1A-093_Motorbikes,when,"he said see you know when he puts on, this chain he 's going to get it exactly perfect you know for"
P1A-093_Motorbikes,when,"when i was down there i just thought why not like and the, my mechanics instructor was saying"
P1A-093_Motorbikes,when,"put about twenty quid in it before you go and then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like"
P1A-093_Motorbikes,if,"and even if i did i couldn't leave mum and dad 'll be half in the middle of, moving and half decorating and all so"
P1A-093_Motorbikes,if,and if i go down at five o'clock on tuesday an hour before the class begins then we can get really stuck into it
P1A-093_Motorbikes,if,"and she doesn't want to get on if she 's going to make me, any more nervous"
P1A-093_Motorbikes,if,but she 'll if she 's
P1A-093_Motorbikes,though,it 's yellow though but that 's 2 sylls
P1A-093_Motorbikes,rather,it 's he would rather have one with low miles lower miles
P1A-093_Motorbikes,instead,"or whatever, and just put it all on intact instead of, oh"
P1A-093_Motorbikes,because,"because, he 's saying it 's like one millimetre out, the tyre he said uh you know when he looked at it there"
