filename,Offset-raw,arg1,arg2
P1A-093_Motorbikes,but,The you can feel the the back wheel isn't straight,uh
P1A-093_Motorbikes,but,The you can feel the the back wheel isn't straight,uh
P1A-093_Motorbikes,but,Oh that 's alright,uh I tightened the chain then on Tuesday night just to give me some practice like and uh it 's terrible
P1A-093_Motorbikes,but,like,we 're we
P1A-093_Motorbikes,but,He 'll maybe well I hope he knows what he 's doing put this chain on for me,"you 'd maybe be better taking it to, somebody proper to and say right"
P1A-093_Motorbikes,but,I usually go to play football with my mates from work on Monday night,I 'm not going to go just in case I get injured cos my insurance doesn't cover cancellations I got the cheapest insurance I can get so
P1A-093_Motorbikes,but,like,we 're we
P1A-093_Motorbikes,but,Right okay,you might not be away even sure you might Or are you definitely going
P1A-093_Motorbikes,but,Well she won't make you nervous,she 'll if she 's doesn't know how to lean round corners
P1A-093_Motorbikes,but,like,we 're we
P1A-093_Motorbikes,and,So I 'm working tomorrow,"I don't know, really what time we 're getting off The kitchen 's getting delivered uh tomorrow so we 're going to start putting it together So that 's what I 'll be doing when I 'm off"
P1A-093_Motorbikes,and,Mm Right,"I 'm going away on Friday morning, so I 'll have to start getting ready for that"
P1A-093_Motorbikes,and,Go away with us in the summer,then you 'll be alright
P1A-093_Motorbikes,and,then we can get really stuck into it,he 'll get it sorted then
P1A-093_Motorbikes,and,then we can get really stuck into it,he 'll get it sorted then
P1A-093_Motorbikes,and,then we can get really stuck into it,he 'll get it sorted then
P1A-093_Motorbikes,and,But uh I tightened the chain then on Tuesday night just to give me some practice like,uh it 's terrible
P1A-093_Motorbikes,and,"I did aye, but he was helping me measure it and everything and then, he went off",I finished the job like
P1A-093_Motorbikes,and,"I did aye, but he was helping me measure it and everything and then, he went off",I finished the job like
P1A-093_Motorbikes,and,Yeah Aye right enough,unless you come down here I won't see you
P1A-093_Motorbikes,and,like And he was like well okay if you And he was looking at it,he saw the wee you know the wee hairs coming off the side the wee rubber
P1A-093_Motorbikes,and,Right,he was going God you don't take many corners do you
P1A-093_Motorbikes,and,And he was going God you don't take many corners do you,"he was laughing, 4 sylls people look and see where it 's worn and see if it 's"
P1A-093_Motorbikes,and,"you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere",You can receive
P1A-093_Motorbikes,and,"you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere",You can receive
P1A-093_Motorbikes,and,"you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere",You can receive
P1A-093_Motorbikes,and,"you can send but you have to put something in front of it and it 's expensive So top up before you go Put about twenty quid in it before you go And then uhm, aye ask when you 're in the wherever you are ask somewhere how you do it like And somebody 'll tell you how you what you put in front of the number to ring somewhere",You can receive
P1A-093_Motorbikes,and,that she 's never been on the back of a bike before,she 's quite a nervous driver
P1A-093_Motorbikes,and,that she 's never been on the back of a bike before,she 's quite a nervous driver
P1A-093_Motorbikes,then,Go away with us in the summer,you 'll be alright
P1A-093_Motorbikes,then,I did aye,he went off
