filename,Offset-raw,fullSent
P1A-093_Motorbikes,but,but it 'll be far better for the journey
P1A-093_Motorbikes,and,"and even if i did i couldn't leave mum and dad 'll be half in the middle of, moving and half decorating and all so"
P1A-093_Motorbikes,so,the kitchen 's getting delivered uh tomorrow so we 're going to start putting it together
P1A-093_Motorbikes,so,you 've decided so you 're going
P1A-093_Motorbikes,when,so that 's what i 'll be doing when i 'm off
P1A-093_Motorbikes,when,"he said see you know when he puts on, this chain he 's going to get it exactly perfect you know for"
P1A-093_Motorbikes,when,"he said see you know when he puts on, this chain he 's going to get it exactly perfect you know for"
P1A-093_Motorbikes,when,"when i was down there i just thought why not like and the, my mechanics instructor was saying"
P1A-093_Motorbikes,if,and if i go down at five o'clock on tuesday an hour before the class begins then we can get really stuck into it
P1A-093_Motorbikes,if,"and she doesn't want to get on if she 's going to make me, any more nervous"
P1A-093_Motorbikes,if,but she 'll if she 's
P1A-093_Motorbikes,before,so top up before you go
P1A-093_Motorbikes,before,so top up before you go
P1A-094_Health,so,so i came up last friday and stayed to til yesterday
P1A-094_Health,so,so uh
P1A-094_Health,so,i 've already had a meeting uhm an update meeting so the place hasn't burnt down or anything
P1A-094_Health,so,i 've already had a meeting uhm an update meeting so the place hasn't burnt down or anything
P1A-094_Health,when,so like i like uh never got a bit a bit of peace on monday when i was up home or at the weekend
P1A-094_Health,when,but he 's he was in good form when i left you know
P1A-094_Health,when,so then when i came she was there
P1A-094_Health,when,and uhm so the babysitter 's going to mind lisa then when you 're down there
P1A-094_Health,but,"but i was like, oh, 3 sylls"
P1A-094_Health,but,"but i was like, oh, 3 sylls"
P1A-094_Health,if,well maybe if you were indoors all day
P1A-094_Health,before,she was supposed to have a whole week this week before she goes in next week
P1A-095_Strep_infection,so,so we had it on nine to ten
P1A-095_Strep_infection,so,so we had it on nine to ten
P1A-095_Strep_infection,so,"so i think he must be having a, an announcement or something"
P1A-095_Strep_infection,so,so it 's on hold
P1A-095_Strep_infection,so,so they have to come in and survey it tomorrow
