pdtb,conll2015,syntactic,heuristic
after ,after ,after ,after 
also ,also ,also ,also 
although ,although ,although ,although 
and ,and ,and ,and 
as ,as ,as ,as 
because ,because ,because ,because 
before ,before ,before ,before 
besides ,besides ,besides ,besides 
but ,but ,but ,but 
cos ,cos ,cos ,cos 
even ,even ,even ,even 
eventually ,eventually ,eventually ,eventually 
example ,example ,example ,example 
except ,except ,except ,except 
finally ,finally ,finally ,finally 
for ,for ,for ,for 
he ,he ,he ,he 
however ,however ,however ,however 
if ,if ,if ,if 
incidentally ,incidentally ,incidentally ,incidentally 
indeed ,indeed ,indeed ,indeed 
insofar ,insofar ,insofar ,insofar 
instance ,instance ,instance ,instance 
instead ,instead ,instead ,instead 
just ,just ,just ,just 
later ,later ,later ,later 
likewise ,likewise ,likewise ,likewise 
long ,long ,long ,long 
meanwhile ,meanwhile ,meanwhile ,meanwhile 
nor ,nor ,nor ,nor 
of ,of ,of ,of 
on ,on ,on ,on 
once ,once ,once ,once 
or ,or ,or ,or 
otherwise ,otherwise ,otherwise ,otherwise 
rather ,rather ,rather ,rather 
right ,right ,right ,right 
seeing ,seeing ,seeing ,seeing 
since ,since ,since ,since 
so ,so ,so ,so 
soon ,soon ,soon ,soon 
still ,still ,still ,still 
that ,that ,that ,that 
the ,the ,the ,the 
then ,then ,then ,then 
therefore ,therefore ,therefore ,therefore 
though ,though ,though ,though 
unless ,unless ,unless ,unless 
until ,until ,until ,until 
well ,well ,well ,well 
when ,when ,when ,when 
whereas ,whereas ,whereas ,whereas 
while ,while ,while ,while 
