pdtb,conll2015,syntactic,heuristic
earlier,as a result,accordingly,as if
especially after,as if,additionally,as soon as
especially when,as soon as,as a result,especially after
even after,as though,as if,especially when
even as,by comparison,as soon as,even after
even if,by contrast,as though,even as
even though,by then,besides,even if
finally,consequently,but,even though
hence,earlier,by comparison,if then
in part because,especially after,by contrast,in part because
just a month after,especially when,by then,just a month after
just when,even after,consequently,just when
largely because,even as,earlier,largely because
much as,even if,especially after,not because
not because,even though,especially when,now that
only if,finally,even after,only if
otherwise,for example,even as,particularly after
particularly after,for instance,even if,partly because
partly because,hence,even though,perhaps because
perhaps because,if then,finally,presumably because
presumably because,in addition,for example,
rather,in fact,for instance,
specifically,in part because,hence,
,just a month after,however,
,just when,if then,
,largely because,in addition,
,much as,in fact,
,not because,in part because,
,now that,indeed,
,on the other hand,instead,
,only if,just a month after,
,particularly after,just when,
,partly because,largely because,
,perhaps because,later,
,presumably because,meanwhile,
,rather,moreover,
,simultaneously,much as,
,so that,nevertheless,
,specifically,nonetheless,
,,nor,
,,not because,
,,now that,
,,on the other hand,
,,once,
,,only if,
,,or,
,,otherwise,
,,particularly after,
,,partly because,
,,perhaps because,
,,presumably because,
,,previously,
,,rather,
,,separately,
,,simultaneously,
,,since,
,,so that,
,,specifically,
,,still,
,,then,
,,therefore,
,,thus,
,,unless,
,,until,
,,whereas,
,,yet,
